log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_precision,macro_recall,macro_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1,train,test,propMin,feat,seed,eval_stage,min_thrust_class_recall,feat_label
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed2,geo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed2.log,LightGBM,36.44,36.44,1,1,1.4791,,0.414372444152832,1.2886,False,0,0.4945,0.2,0.2848,0.8953,0.3422,0.4952,0.2849,0.9156,0.4346,0.0,0.0,0.0,0.4187,0.3644,0.3036,0.4187,0.3644,0.3036,45.0,0.0,180.0,0.0,77.0,148.0,19.0,0.0,206.0,27.0,9.0,189.0,geo,leo,30,ladder,2,whole_trajectory,0.0,OE + Acceleration Residual
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed2,geo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed2.log,MiniRocket,35.0,35.0,1,1,,9996.0,0.5815,24.4772,False,0,0.3092,0.9289,0.4639,0.4789,0.4533,0.4658,0.2,0.0044,0.0087,0.5,0.0133,0.026,0.372,0.35,0.2411,0.372,0.35,0.2411,209.0,12.0,2.0,122.0,102.0,1.0,185.0,38.0,1.0,160.0,61.0,1.0,geo,leo,30,ladder,2,whole_trajectory,0.0044,OE + Acceleration Residual
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed2,geo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed2.log,LSTM,25.0,99.67,5,37,7.9835,94780.0,0.723114013671875,104.3678,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,geo,leo,30,ladder,2,whole_trajectory,0.0,OE + Acceleration Residual
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed2,geo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed2.log,MAMBA,25.0,99.67,14,35,21.8867,25018.0,0.1908721923828125,123.0331,True,0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,geo,leo,30,ladder,2,whole_trajectory,0.0,OE + Acceleration Residual
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed2,geo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed2.log,TRANSFORMER,25.0,99.78,8,30,9.7068,405132.0,3.090911865234375,43.3233,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,geo,leo,30,ladder,2,whole_trajectory,0.0,OE + Acceleration Residual
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed2,geo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed2.log,CNN,25.0,99.67,3,17,7.7412,473668.0,3.613800048828125,121.2333,True,0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,geo,leo,30,ladder,2,whole_trajectory,0.0,OE + Acceleration Residual
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed0,geo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed0.log,LightGBM,27.44,27.44,1,1,1.7327,,0.4148874282836914,1.2433,False,0,0.6,0.0133,0.0261,0.6286,0.0978,0.1692,0.2584,0.9867,0.4096,0.0,0.0,0.0,0.3718,0.2744,0.1512,0.3718,0.2744,0.1512,3.0,4.0,218.0,1.0,22.0,202.0,0.0,2.0,222.0,1.0,7.0,217.0,geo,leo,30,ladder,0,whole_trajectory,0.0,OE + Acceleration Residual
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed0,geo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed0.log,MiniRocket,47.56,47.56,1,1,,9996.0,0.5816,22.4902,False,0,0.5605,0.5556,0.558,0.5725,0.3511,0.4353,0.4266,0.2711,0.3315,0.4116,0.7244,0.525,0.4928,0.4756,0.4624,0.4928,0.4756,0.4624,125.0,17.0,18.0,3.0,79.0,32.0,81.0,26.0,61.0,14.0,16.0,32.0,geo,leo,30,ladder,0,whole_trajectory,0.2711,OE + Acceleration Residual
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed0,geo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed0.log,LSTM,25.0,99.89,4,49,5.117,94780.0,0.723114013671875,139.3591,True,0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,geo,leo,30,ladder,0,whole_trajectory,0.0,OE + Acceleration Residual
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed0,geo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed0.log,MAMBA,25.0,99.78,16,39,8.3214,25018.0,0.1908721923828125,133.2226,True,0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,geo,leo,30,ladder,0,whole_trajectory,0.0,OE + Acceleration Residual
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed0,geo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed0.log,TRANSFORMER,25.0,100.0,12,33,7.4409,405132.0,3.090911865234375,45.3914,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,geo,leo,30,ladder,0,whole_trajectory,0.0,OE + Acceleration Residual
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed0,geo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed0.log,CNN,25.0,99.89,2,32,10.1343,473668.0,3.613800048828125,234.5195,True,0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,geo,leo,30,ladder,0,whole_trajectory,0.0,OE + Acceleration Residual
